VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
14,3031,4.5,2.75,0.25,0.25,4000,13.688,30,1.1,740,1,,
16,3031,7.375,3,0.25,0.25,4000,15.625,,1.1,740,1,,
18,3031,9,3.25,0.25,0.25,4000,17.313,,1.1,740,1,,
20,3031,10,3.5,0.25,0.25,4000,19.313,,1.1,740,1,,
24,3031,12,4,0.25,0.25,4000,23.313,,1.1,740,1,,
2,6031,1.125,1,0.166666667,0.166666667,1500,2.125,9,1.1,1480,1,94,
2.5,6031,1.625,1,0.166666667,0.166666667,1500,2.625,12,1.1,1480,1,130,
3,6031,1.4375,1.25,0.25,0.25,1500,3.125,12,1.1,1480,1,166,
4,6031,1.813,1.375,0.25,0.25,1500,4.125,16,1.1,1480,1,315,
6,6031,3.375,1.75,0.333333333,0.333333333,2500,6.1875,20,1.1,1480,1,630,
8,6031,3.25,2,0.25,0.25,2500,8.3125,20,1.1,1480,1,1130,
10,6031,3.9375,2.5,0.25,0.25,2500,10.25,26,1.1,1480,1,2100,
12,6031,4,2.75,0.25,0.25,4000,12.25,30,1.1,1480,1,2780,
3,9031,1.25,1.5,0.2,0.2,1500,3.125,14,1.1,2220,1,280,
4,9031,3.25,1.625,0.25,0.25,2500,4.125,16,1.1,2220,1,445,
6,9031,2.125,2.375,0.25,0.25,2500,6,20,1.1,2220,1,,
8,9031,3.125,2.75,0.25,0.25,4000,7.875,26,1.1,2220,1,,
10,9031,3.625,2.75,0.25,0.25,4000,9.75,30,1.1,2220,1,,
14,1503,14.25,1.625,0.25,0.25,2500,13.25,20,0.3,285,4,,
16,1503,16.25,1.75,0.25,0.25,2500,15.25,25,0.3,285,4,,
18,1503,18.875,1.875,0.25,0.25,2500,17.25,25,0.3,285,4,,
20,1503,21.25,2,0.25,0.25,2500,19.25,27.5,0.3,285,4,,
24,1503,25.25,2.25,0.333333333,0.333333333,2500,23.25,35.5,0.3,285,4,,
30,1503,31.25,2.5,0.333333333,0.333333333,2500,29.25,35.5,0.3,285,4,,
36,1503,37.25,2.75,0.333333333,0.333333333,4000,35.25,47.25,0.3,285,4,,
14,3003,14.25,1.75,0.25,0.25,2500,13.25,25,0.3,740,4,,
16,3003,16.25,1.875,0.25,0.25,2500,15.25,25,0.3,740,4,,
18,3003,18.625,2,0.25,0.25,2500,17,27.5,0.3,740,4,,
20,3003,21,2.25,0.333333333,0.333333333,2500,19,35.5,0.3,740,4,,
24,3003,25,2.5,0.333333333,0.333333333,2500,23,35.5,0.3,740,4,,
30,3003,31,3.25,0.5,0.5,4000,29,39.5,0.3,740,4,,
36,3003,37,3.5,0.5,0.5,4000,34.5,47.25,0.3,740,4,,
42,3003,44,4,0.5,0.5,4000,40.125,47.25,0.3,740,4,,
2,1503,2.5,0.75,0.166666667,0.166666667,1000,2,8,0.3,285,2,45,
2.5,1503,3,0.75,0.166666667,0.166666667,1000,2.5,8,0.3,285,2,62,
3,1503,3.5625,0.875,0.166666667,0.166666667,1000,3,10,0.3,285,2,80,
4,1503,4.7,1,0.2,0.2,1000,4,10,0.3,285,2,110,
6,1503,6.6,1.125,0.2,0.2,1500,6,12,0.3,285,2,178,
8,1503,8.6,1.25,0.2,0.2,1500,8,14,0.3,285,2,285,
10,1503,10.75,1.375,0.25,0.25,1500,10,16,0.3,285,2,385,
12,1503,12.8,1.5,0.25,0.25,1500,12,18,0.3,285,2,560,
14,1503,14.25,1.625,0.25,0.25,2500,13.25,20,0.3,285,2,840,
16,1503,16.25,1.75,0.25,0.25,2500,15.25,22,0.3,285,2,1050,
18,1503,18.2,1.875,0.25,0.25,2500,17.25,22,0.3,285,2,1740,
20,1503,20.35,2,0.25,0.25,2500,19.25,24,0.3,285,2,2130,
24,1503,24.53,2.25,0.333333333,0.333333333,2500,23.25,26,0.3,285,2,3125,
2,3003,2.5,0.75,0.166666667,0.166666667,1000,2,8,0.3,740,2,65,
2.5,3003,3,0.75,0.166666667,0.166666667,1000,2.5,9,0.3,740,2,94,
3,3003,3.5625,0.88,0.166666667,0.166666667,1000,3,10,0.3,740,2,115,
4,3003,4.6,1,0.2,0.2,1000,4,12,0.3,740,2,165,
6,3003,6.6,1.25,0.2,0.2,1500,6,14,0.3,740,2,310,
8,3003,8.6,1.375,0.25,0.25,1500,8,16,0.3,740,2,450,
10,3003,10.8,1.5,0.25,0.25,1500,10,18,0.3,740,2,700,
12,3003,12.3,1.625,0.25,0.25,2500,12,18,0.3,740,2,1020,
14,3003,14.1,1.75,0.25,0.25,2500,13.25,20,0.3,740,2,1715,
16,3003,16.2,1.875,0.25,0.25,2500,15.25,24,0.3,740,2,2120,
2,6003,2.6,0.75,0.166666667,0.166666667,1000,2,9,0.3,1480,2,67,
2.5,6003,3.125,0.875,0.166666667,0.166666667,1000,2.625,10,0.3,1480,2,95,
